Club,Nickname,Last Name,First Name,Position,2022 Base Salary,2022 Guar. Comp.
Atlanta United,,Almada,Thiago ,M-F,"$1,650,000.00","$2,332,000.00"
Atlanta United,,Alonso,Osvaldo,M,"$84,000.00","$84,000.00"
Atlanta United,Mikey,Ambrose,Mikey,D,"$85,444.00","$85,444.00"
Atlanta United,,Araujo,Luiz ,F-M,"$3,600,000.00","$4,480,333.00"
Atlanta United,,Barco,Ezequiel,M,"$2,200,000.00","$2,200,000.00"
Atlanta United,,Campbell,George,D,"$98,000.00","$98,000.00"
Atlanta United,,Castanheira,Dylan,GK,"$85,444.00","$85,444.00"
Atlanta United,,Centeno,Erik ,D,"$65,500.00","$75,276.00"
Atlanta United,,Chol,Machop,M,"$65,500.00","$65,500.00"
Atlanta United,,Cisneros,Ronaldo ,F,"$244,000.00","$244,000.00"
Atlanta United,,Conway,Jackson,F,"$84,000.00","$84,000.00"
Atlanta United,,De John,Alex,D,"$85,444.00","$85,444.00"
Atlanta United,,Dwyer,Dom,F,"$84,000.00","$84,000.00"
Atlanta United,,Franco,Alan,D,"$540,000.00","$667,500.00"
Atlanta United,,Garces,Justin ,GK,"$65,500.00","$65,500.00"
Atlanta United,,Gudiño,Raúl ,GK,"$200,000.00","$247,333.00"
Atlanta United,,Gutman,Andrew,D,"$300,000.00","$331,250.00"
Atlanta United,,Guzan,Brad,GK,"$445,716.00","$458,216.00"
Atlanta United,,Hernandez,Ronald,D,"$300,000.00","$300,000.00"
Atlanta United,,Hyndman,Emerson,M,"$657,143.00","$657,143.00"
Atlanta United,,Ibarra,Franco,D-M,"$450,000.00","$520,000.00"
Atlanta United,,Lennon,Brooks,D,"$500,000.00","$500,000.00"
Atlanta United,,Lopez Samaniego,Erik ,F,"$360,000.00","$528,300.00"
Atlanta United,,Martinez,Josef,F,"$3,750,000.00","$4,141,667.00"
Atlanta United,,McFadden,Aiden ,D,"$65,500.00","$65,500.00"
Atlanta United,,Morales,Efrain,D,"$65,500.00","$65,500.00"
Atlanta United,,Moreno,Marcelino,F-M,"$460,000.00","$568,333.00"
Atlanta United,,Mosquera,Edwin ,M-F,"$300,000.00","$337,000.00"
Atlanta United,,Purata ,Juan Jose,D,"$400,000.00","$483,500.00"
Atlanta United,,Rios-Novo,Rocco ,GK,"$108,000.00","$115,530.00"
Atlanta United,,Robinson,Miles,D,"$700,000.00","$737,500.00"
Atlanta United,,Rossetto,Matheus,M,"$550,000.00","$662,500.00"
Atlanta United,,Sejdic,Amar,M,"$85,444.00","$85,444.00"
Atlanta United,,Sosa,Santiago,M-F,"$525,000.00","$643,100.00"
Atlanta United,,Washington,Bryce,D,"$65,500.00","$65,500.00"
Atlanta United,,Wiley ,Caleb ,D,"$65,500.00","$67,100.00"
Atlanta United,,Wolff,Tyler,F-M,"$110,000.00","$114,500.00"
Austin FC,,Asensio,Carlos ,D,"$65,500.00","$65,500.00"
Austin FC,,Cascante,Julio,D,"$310,000.00","$337,500.00"
Austin FC,,Corozo ,Washington ,F,"$300,000.00","$327,500.00"
Austin FC,,Djitte,Moussa,F,"$550,000.00","$550,000.00"
Austin FC,,Driussi,Sebastian,F,"$2,200,000.00","$2,317,000.00"
Austin FC,,Fagundez,Diego,M,"$450,000.00","$450,000.00"
Austin FC,,Finlay,Ethan,M,"$350,000.00","$350,000.00"
Austin FC,,Gabrielsen,Ruben,D,"$950,000.00","$950,000.00"
Austin FC,,Gallagher,Jon,D,"$155,000.00","$155,000.00"
Austin FC,,Hoesen,Danny,F,"$650,000.00","$716,667.00"
Austin FC,,Jimenez,Hector,D,"$200,000.00","$200,000.00"
Austin FC,,Keller ,Kipp ,D,"$84,000.00","$96,500.00"
Austin FC,,Kleeman,Freddy,D,"$66,724.00","$66,724.00"
Austin FC,,Kolmanic,Zan,D,"$300,000.00","$300,000.00"
Austin FC,,Las,Damian,GK,"$65,500.00","$65,500.00"
Austin FC,,Lima,Nick,D,"$350,000.00","$350,000.00"
Austin FC,,Martins,Felipe,M,"$84,000.00","$84,000.00"
Austin FC,,Pereira,Danny,M,"$84,000.00","$102,258.00"
Austin FC,,Pochettino,Tomas,M,"$525,000.00","$585,000.00"
Austin FC,,Pulisic,William ,GK,"$66,724.00","$66,724.00"
Austin FC,,Redes,Rodney,F,"$412,500.00","$412,500.00"
Austin FC,,Rigoni,Emiliano,M,"$1,846,152.00","$2,294,152.00"
Austin FC,,Ring,Alexander,M,"$1,500,000.00","$1,640,000.00"
Austin FC,,Romana,Jhohan,D,"$440,000.00","$440,000.00"
Austin FC,,Stroud,Jared,M,"$84,000.00","$84,000.00"
Austin FC,,Stuver,Brad,GK,"$175,000.00","$185,000.00"
Austin FC,,Tarbell,Andrew,GK,"$300,000.00","$308,333.00"
Austin FC,,Urruti,Maximiliano,F,"$625,000.00","$661,250.00"
Austin FC,,Valencia ,Jhojan,M,"$355,000.00","$400,125.00"
Austin FC,,Wolff,Owen ,M,"$65,500.00","$78,553.00"
CF Montreal,,Assi,Jean-Aniel,M,"$66,724.00","$74,104.00"
CF Montreal,,Bassong,Zorhan,D,"$125,000.00","$137,500.00"
CF Montreal,,Brault-Guillard,Zachary,D,"$275,000.00","$319,375.00"
CF Montreal,,Breza,Sebastian,GK,"$84,000.00","$84,000.00"
CF Montreal,,Camacho,Rudy,D,"$500,000.00","$554,000.00"
CF Montreal,,Choiniere,Mathieu,M,"$125,000.00","$134,238.00"
CF Montreal,,Corbo,Gabriele ,D,"$120,192.00","$120,192.00"
CF Montreal,,Ferdinand,Keesean,D,"$89,716.00","$99,936.00"
CF Montreal,,Giraldo,Tomas,M,"$110,000.00","$121,000.00"
CF Montreal,,Hamdi,Ahmed,M,"$475,000.00","$572,500.00"
CF Montreal,,Ibrahim,Sunusi,F,"$200,000.00","$291,250.00"
CF Montreal,,Johnsen,Bjorn,F,"$1,100,000.00","$1,236,667.00"
CF Montreal,,Johnston,Alistair,M-D,"$400,000.00","$445,625.00"
CF Montreal,,Kamara,Kei,F,"$84,000.00","$94,000.00"
CF Montreal,,Ketterer,Logan,GK,"$84,000.00","$84,000.00"
CF Montreal,,Koné,Ismael,M,"$65,500.00","$68,125.00"
CF Montreal,,Kwizera,Jojea,M,"$65,500.00","$65,500.00"
CF Montreal,,Lappalainen,Lassi,M,"$510,000.00","$540,000.00"
CF Montreal,,Mihailovic,Djordje,M,"$700,000.00","$751,875.00"
CF Montreal,,Miljevic,Matko,M,"$545,455.00","$593,364.00"
CF Montreal,,Miller,Kamal,D,"$300,000.00","$345,000.00"
CF Montreal,,Offor,Chinonso,F,"$159,996.00","$209,396.00"
CF Montreal,,Pantemis,James,GK,"$145,000.00","$160,833.00"
CF Montreal,,Piette,Samuel,M,"$400,000.00","$429,750.00"
CF Montreal,,Quioto,Romell,F,"$800,000.00","$885,000.00"
CF Montreal,,Rea,Sean,,"$66,724.00","$74,809.00"
CF Montreal,,Saliba,Nathan-Dylan,,"$66,724.00","$77,200.00"
CF Montreal,,Sirois,Jonathan,GK,"$84,000.00","$88,319.00"
CF Montreal,,Thorkelsson,Robert ,D,"$150,000.00","$173,500.00"
CF Montreal,,Torres,Joaquin,M,"$230,000.00","$279,800.00"
CF Montreal,,Toye,Mason,F,"$500,000.00","$558,000.00"
CF Montreal,,Wanyama,Victor,M,"$2,400,000.00","$3,091,667.00"
CF Montreal,,Waterman,Joel,D,"$125,000.00","$133,909.00"
CF Montreal,,Yao,Karifa,D,"$85,444.00","$89,933.00"
CF Montreal,,Zouhir,Rida,M,"$66,724.00","$74,809.00"
Charlotte FC,,Afful,Harrison,D,"$300,000.00","$332,500.00"
Charlotte FC,,Alcivar,Jordy ,M,"$235,000.00","$325,600.00"
Charlotte FC,,Armour,Adam,D,"$65,500.00","$65,500.00"
Charlotte FC,,Bender,Benjamin ,M,"$65,500.00","$83,000.00"
Charlotte FC,,Bronico,Brandt,M,"$125,000.00","$134,330.00"
Charlotte FC,,Byrne,Nathan ,F,"$560,000.00","$607,833.00"
Charlotte FC,,Corujo,Guzman,D,"$600,000.00","$633,500.00"
Charlotte FC,,Franco,Alan Steven,M,"$480,000.00","$538,300.00"
Charlotte FC,,Fuchs,Christian ,D,"$375,000.00","$375,000.00"
Charlotte FC,,Gaines,McKinze,F,"$84,000.00","$86,750.00"
Charlotte FC,,Hegardt ,Christopher ,M,"$65,500.00","$73,012.00"
Charlotte FC,,Jones,Derrick,M,"$185,000.00","$207,969.00"
Charlotte FC,,Jóźwiak,Kamil,F-M,"$900,000.00","$1,017,000.00"
Charlotte FC,,Kahlina,Kristijan,GK,"$425,000.00","$451,875.00"
Charlotte FC,,Lindsey,Jaylin,D,"$200,000.00","$235,625.00"
Charlotte FC,,Malanda,Adilson,D,"$250,000.00","$278,083.00"
Charlotte FC,,Marks ,George ,GK,"$65,500.00","$65,500.00"
Charlotte FC,,McNeill,Quinn ,M,"$65,500.00","$65,500.00"
Charlotte FC,,Mello,Vinicius,F,"$300,000.00","$334,900.00"
Charlotte FC,,Mora,Joseph,D,"$200,000.00","$200,000.00"
Charlotte FC,,Reyna,Yordy,M-F,"$797,500.00","$797,500.00"
Charlotte FC,,Rios,Daniel,F,"$230,000.00","$251,500.00"
Charlotte FC,,Romero,Brian ,M,"$65,500.00","$76,333.00"
Charlotte FC,Laukoa ,Santos,Koa,D,"$65,500.00","$65,500.00"
Charlotte FC,,Santos,Nuno,M,"$500,000.00","$561,387.00"
Charlotte FC,,Shinyashiki,Andre,F,"$140,000.00","$150,000.00"
Charlotte FC,,Sisniega,Pablo,GK,"$180,000.00","$200,667.00"
Charlotte FC,,Sobocinski,Jan ,D,"$325,000.00","$351,250.00"
Charlotte FC,,Świderski,Karol,F,"$2,200,000.00","$2,258,000.00"
Charlotte FC,,Vargas,Kerwin,F,"$350,000.00","$392,167.00"
Charlotte FC,,Walkes,Anton,D,"$325,000.00","$353,594.00"
Charlotte FC,,Zendejas,Adrian,GK,"$84,000.00","$91,986.00"
Chicago Fire,,Bezerra,Victor ,F,"$84,000.00","$96,461.00"
Chicago Fire,,Bornstein,Jonathan,D,"$300,000.00","$330,000.00"
Chicago Fire,,Brady,Chris,GK,"$159,996.00","$183,246.00"
Chicago Fire,,Burks,Kendall ,D,"$84,000.00","$84,000.00"
Chicago Fire,,Casas,Javier,M,"$84,000.00","$85,900.00"
Chicago Fire,,Czichos,Rafael ,D,"$1,300,000.00","$1,336,667.00"
Chicago Fire,,Duran,Jhon Jader,F,"$120,000.00","$167,000.00"
Chicago Fire,,Espinoza,Jhon,D,"$216,000.00","$242,500.00"
Chicago Fire,,Gimenez,Gaston,M,"$2,060,000.00","$2,360,667.00"
Chicago Fire,,Gutierrez,Brian,M,"$104,000.00","$105,900.00"
Chicago Fire,,Herbers,Fabian,M,"$260,000.00","$281,250.00"
Chicago Fire,,Ivanov,Stanislav,M,"$300,000.00","$359,000.00"
Chicago Fire,,Monis,Alex,M,"$84,000.00","$85,900.00"
Chicago Fire,,Mueller,Chris,M,"$549,996.00","$612,316.00"
Chicago Fire,,Navarro,Miguel Angel,D,"$200,004.00","$240,204.00"
Chicago Fire,,Navarro,Federico,M,"$200,004.00","$275,004.00"
Chicago Fire,,Omsberg,Wyatt,D,"$140,000.00","$157,000.00"
Chicago Fire,,Oregel,Sergio ,M,"$65,500.00","$65,500.00"
Chicago Fire,,Pineda,Mauricio,D-M,"$225,000.00","$248,875.00"
Chicago Fire,,Przybylko,Kacper,F,"$1,100,004.00","$1,212,504.00"
Chicago Fire,,Reynolds,Andre,D,"$90,000.00","$98,000.00"
Chicago Fire,,Richey,Spencer,GK,"$132,000.00","$132,000.00"
Chicago Fire,,Rodriguez,Allan,M,"$84,000.00","$85,900.00"
Chicago Fire,,Rodriguez,Missael ,F,"$65,500.00","$65,500.00"
Chicago Fire,,Sekulic,Boris,D,"$596,000.00","$668,900.00"
Chicago Fire,,Shaqiri,Xherdan,M,"$7,350,000.00","$8,153,000.00"
Chicago Fire,,Slonina,Gabriel,GK,"$143,000.00","$147,800.00"
Chicago Fire,,Teran,Carlos ,D,"$200,000.00","$255,440.00"
Chicago Fire,,Torres ,Jairo ,M,"$849,996.00","$1,219,329.00"
Colorado Rapids,,Abubakar,Lalas,D,"$235,000.00","$272,125.00"
Colorado Rapids,,Acosta,Bryan,M,"$650,000.00","$706,667.00"
Colorado Rapids,,Anderson,Sebastian,D,"$105,000.00","$106,667.00"
Colorado Rapids,,Barrios,Michael,M,"$650,000.00","$680,000.00"
Colorado Rapids,,Bassett,Cole,M,"$450,000.00","$450,000.00"
Colorado Rapids,,Beitashour,Steven,D,"$150,000.00","$172,500.00"
Colorado Rapids,,Edwards,Michael,D,"$84,000.00","$84,000.00"
Colorado Rapids,,Esteves ,Lucas ,D,"$373,032.00","$426,092.00"
Colorado Rapids,,Galvan,Braian,F,"$318,000.00","$414,322.00"
Colorado Rapids,,Gutierrez,Felipe,M,"$552,000.00","$569,250.00"
Colorado Rapids,,Irwin,Clint,GK,"$200,000.00","$213,300.00"
Colorado Rapids,,Keita,Aboubacar,D,"$135,000.00","$135,000.00"
Colorado Rapids,,Larraz,Oliver,M,"$65,500.00","$65,500.00"
Colorado Rapids,,Lewis,Jonathan,F,"$410,000.00","$435,000.00"
Colorado Rapids,,Markanich ,Anthony,D,"$65,500.00","$65,500.00"
Colorado Rapids,,Mayaka,Philip,M,"$100,000.00","$113,000.00"
Colorado Rapids,,Moor,Drew,D,"$150,000.00","$172,500.00"
Colorado Rapids,,Nicholson,Sam,M,"$300,000.00","$335,313.00"
Colorado Rapids,,Price,Jack,M,"$662,500.00","$725,000.00"
Colorado Rapids,,Priso,Ralph,M,"$85,444.00","$89,195.00"
Colorado Rapids,,Rodriguez,Abraham,GK,"$84,000.00","$84,000.00"
Colorado Rapids,,Rosenberry,Keegan,D,"$400,000.00","$400,000.00"
Colorado Rapids,,Rubio Kostner,Diego,F,"$585,000.00","$629,583.00"
Colorado Rapids,Yaya,Toure,"Dantouma ""Yaya""",F,"$65,500.00","$80,118.00"
Colorado Rapids,,Travis,Jackson ,M,"$65,500.00","$68,000.00"
Colorado Rapids,,Vallecilla,Gustavo ,D,"$312,000.00","$344,880.00"
Colorado Rapids,,Warner,Collen,M,"$84,000.00","$84,000.00"
Colorado Rapids,,Wilson,Danny,D,"$330,000.00","$354,750.00"
Colorado Rapids,,Yapi,Darren,F,"$65,500.00","$76,333.00"
Colorado Rapids,,Yarbrough,William,GK,"$300,000.00","$375,000.00"
Colorado Rapids,,Zardes,Gyasi,F,"$1,500,000.00","$1,550,000.00"
Colorado Rapids,Max Alves da Silva ,,Max,M,"$212,000.00","$293,360.00"
Columbus Crew,,Anibaba,Jalil,D,"$150,000.00","$150,000.00"
Columbus Crew,,Bush,Evan,GK,"$84,000.00","$84,000.00"
Columbus Crew,,Degenek,Miloš,D,"$715,000.00","$812,000.00"
Columbus Crew,,Diaz ,Luis ,M,"$375,000.00","$408,900.00"
Columbus Crew,,Etienne,Derrick,M,"$175,000.00","$175,000.00"
Columbus Crew,,Farsi,Mohamed,D,"$65,500.00","$75,333.00"
Columbus Crew,,Hairston,Marlon,M-D,"$175,000.00","$175,000.00"
Columbus Crew,,Hernandez,Cucho,F,"$2,600,000.00","$2,886,000.00"
Columbus Crew,,Hurtado,Erik,F,"$84,000.00","$84,000.00"
Columbus Crew,,Igbekeme,James ,M,"$315,000.00","$408,281.00"
Columbus Crew,,Kitchen,Perry,M,"$300,000.00","$326,667.00"
Columbus Crew,Artur,Lima,Artur,M,"$564,000.00","$615,633.00"
Columbus Crew,,Matan,Alexandru,M,"$425,000.00","$458,250.00"
Columbus Crew,,Mensah,Jonathan,D,"$1,000,000.00","$1,140,667.00"
Columbus Crew,,Molino,Kevin,M,"$700,348.00","$700,348.00"
Columbus Crew,,Moreira,Steven,D,"$550,000.00","$632,708.00"
Columbus Crew,,Morris,Aidan,M,"$170,000.00","$172,000.00"
Columbus Crew,,Morris,Jake ,D,"$65,500.00","$65,500.00"
Columbus Crew,,Nagbe,Darlington,M,"$1,760,000.00","$1,760,000.00"
Columbus Crew,,Parente,Isaiah,M,"$66,724.00","$70,724.00"
Columbus Crew,,Room,Eloy,GK,"$800,000.00","$883,000.00"
Columbus Crew,,Russell-Rowe,Jacen ,F,"$65,500.00","$72,866.00"
Columbus Crew,,Sands,Will ,D,"$84,000.00","$90,250.00"
Columbus Crew,,Santos,Pedro,D,"$625,000.00","$687,500.00"
Columbus Crew,,Schulte ,Patrick ,GK,"$84,000.00","$96,431.00"
Columbus Crew,,Scott,Brady,GK,"$84,000.00","$84,000.00"
Columbus Crew,,Williams,Josh,D,"$325,000.00","$325,000.00"
Columbus Crew,,Yeboah,Yaw,M,"$600,000.00","$663,750.00"
Columbus Crew,,Zawadzki,Sean ,M,"$84,000.00","$89,000.00"
Columbus Crew,,Zelarayan,Lucas,M,"$3,100,000.00","$3,700,000.00"
DC United,,Akinmboni,Matai,D,"$65,500.00","$75,000.00"
DC United,,Alfaro,Antonio,D,"$89,513.00","$89,513.00"
DC United,,Benteke,Christian,F,"$4,000,000.00","$4,182,778.00"
DC United,,Berry,Miguel,F,"$120,000.00","$120,000.00"
DC United,,Birnbaum,Steven,D,"$750,000.00","$762,500.00"
DC United,,Canouse,Russell,M,"$515,000.00","$515,000.00"
DC United,,Djeffal,Sofiane,M,"$65,500.00","$65,500.00"
DC United,,Durkin,Chris,M,"$400,000.00","$445,000.00"
DC United,,Fletcher ,Kristian,F,"$84,000.00","$105,189.00"
DC United,,Fountas,Taxiarchis,F,"$1,600,000.00","$1,641,000.00"
DC United,,Freeman,Tyler,F,"$110,000.00","$112,500.00"
DC United,,Garay,Jeremy,M,"$65,500.00","$69,550.00"
DC United,,Greene,Jacob,D-M,"$85,444.00","$88,444.00"
DC United,,Guediri,Sami,D,"$84,000.00","$84,000.00"
DC United,,Hamid,Bill,GK,"$700,000.00","$700,000.00"
DC United,,Hines-Ike,Brendan,D,"$375,000.00","$417,917.00"
DC United,,Hopkins,Jackson ,M,"$65,500.00","$65,833.00"
DC United,,Kamara,Ola,F,"$1,500,000.00","$1,520,000.00"
DC United,,Kempin,Jon,GK,"$84,000.00","$84,000.00"
DC United,,Ku-DiPietro,Theodore ,M,"$65,500.00","$65,500.00"
DC United,,Morrison,Ravel,M,"$850,000.00","$917,844.00"
DC United,,Najar,Andy,D,"$375,000.00","$375,000.00"
DC United,,Ochoa,David,GK,"$103,500.00","$103,500.00"
DC United,,Odoi-Atsem,Chris,D,"$140,000.00","$151,000.00"
DC United,,Palsson,Victor ,M,"$850,000.00","$863,125.00"
DC United,,Perez,Adrien,F,"$89,513.00","$89,513.00"
DC United,,Pines,Donovan,D,"$150,000.00","$152,000.00"
DC United,,Robertha,Nigel,F,"$550,000.00","$622,406.00"
DC United,,Rodriguez,Martin ,F-M,"$456,000.00","$597,200.00"
DC United,,Romo,Rafael,GK,"$250,000.00","$285,833.00"
DC United,,Samake,Gaoussou,D-M,"$84,000.00","$84,000.00"
DC United,,Sargis,Hayden ,D,"$65,500.00","$65,500.00"
DC United,Drew,Skundrich,Andrew ,M-F,"$89,513.00","$89,513.00"
DC United,,Smith,Brad,D,"$550,000.00","$591,250.00"
DC United,,Smith,Kimarni,M-F,"$85,444.00","$85,444.00"
FC Cincinnati,Lucho,Acosta,Luciano,M,"$1,943,500.00","$2,222,854.00"
FC Cincinnati,,Atanga,Isaac,F,"$350,000.00","$364,000.00"
FC Cincinnati,,Badji,Dominique,F,"$500,000.00","$555,000.00"
FC Cincinnati,,Bailey,Zico,D,"$84,000.00","$84,000.00"
FC Cincinnati,,Barreal,Alvaro,F,"$350,000.00","$350,000.00"
FC Cincinnati,,Blackett,Tyler ,D,"$840,000.00","$840,000.00"
FC Cincinnati,,Cameron,Geoff,D,"$387,000.00","$469,000.00"
FC Cincinnati,,Celentano,Roman ,GK,"$84,000.00","$99,000.00"
FC Cincinnati,,Cruz,Allan ,M,"$1,140,000.00","$1,254,000.00"
FC Cincinnati,,Gaddis,Ray,D,"$230,000.00","$230,000.00"
FC Cincinnati,,Hagglund,Nick,D,"$84,000.00","$84,000.00"
FC Cincinnati,,Harris,Calvin,F,"$85,444.00","$100,444.00"
FC Cincinnati,,Kann,Alec,GK,"$200,000.00","$220,833.00"
FC Cincinnati,,Kubo,Yuya,M,"$1,091,000.00","$1,206,750.00"
FC Cincinnati,,Louro,Evan,GK,"$84,000.00","$84,000.00"
FC Cincinnati,,Markanich,Nicholas,F,"$65,500.00","$65,500.00"
FC Cincinnati,,Matarrita,Ronald,D,"$750,000.00","$806,875.00"
FC Cincinnati,,Miazga,Matt,D,"$1,464,000.00","$1,464,000.00"
FC Cincinnati,,Mines,Ben,M,"$84,000.00","$88,840.00"
FC Cincinnati,,Moreno,Junior,M,"$325,000.00","$373,750.00"
FC Cincinnati,,Murphy,Ian ,D,"$65,500.00","$67,750.00"
FC Cincinnati,Johnny ,Nelson,John,D,"$65,500.00","$73,500.00"
FC Cincinnati,,Nwobodo,Obinna ,M,"$900,000.00","$1,028,100.00"
FC Cincinnati,Quimi,Ordonez,Arquimides,F,"$65,500.00","$69,037.00"
FC Cincinnati,,Powell,Alvas,D,"$150,000.00","$167,000.00"
FC Cincinnati,,Robledo,Harrison ,F,"$65,500.00","$86,391.00"
FC Cincinnati,,Santos,Sergio,F,"$850,000.00","$918,500.00"
FC Cincinnati,Brenner,Souza da Silva,Brenner,F,"$1,680,000.00","$2,218,600.00"
FC Cincinnati,,Sunderland,Beckham,GK,"$84,000.00","$87,863.00"
FC Cincinnati,,Vazquez,Brandon,F,"$275,000.00","$517,500.00"
FC Cincinnati,,Vermeer,Kenneth,GK,"$84,000.00","$84,000.00"
FC Dallas,,Arriola,Paul,M,"$1,100,000.00","$1,130,000.00"
FC Dallas,,Bartlett,Lucas,D,"$84,000.00","$84,000.00"
FC Dallas,,Carrera ,Antonio ,GK,"$65,500.00","$85,019.00"
FC Dallas,,Cerrillo,Edwin,M,"$130,000.00","$145,000.00"
FC Dallas,,Che,Justin,D,"$100,000.00","$109,209.00"
FC Dallas,,Elmedkhar,Kalil,F,"$66,724.00","$66,724.00"
FC Dallas,,Farfan,Marco,D,"$225,000.00","$225,000.00"
FC Dallas,,Ferreira,Jesus,F,"$1,300,000.00","$1,499,000.00"
FC Dallas,,Hedges,Matt,D,"$900,000.00","$900,000.00"
FC Dallas,Nicky,Hernandez,Dominick,M,"$66,724.00","$76,438.00"
FC Dallas,,Jara,Franco,F,"$2,540,000.00","$3,227,000.00"
FC Dallas,,Kamungo,Bernard,M,"$84,000.00","$84,000.00"
FC Dallas,,Lletget,Sebastian,M,"$900,000.00","$1,023,750.00"
FC Dallas,,Martinez,Jose Antonio,D,"$650,000.00","$723,000.00"
FC Dallas,,Maurer,Jimmy,GK,"$275,000.00","$292,887.00"
FC Dallas,,Munjoma,Eddie,D,"$84,000.00","$84,000.00"
FC Dallas,,Ntsabeleng,Tsiki,M,"$65,500.00","$65,500.00"
FC Dallas,,Obrian,Jader,F,"$382,500.00","$467,100.00"
FC Dallas,,Paes,Maarten,GK,"$150,000.00","$187,500.00"
FC Dallas,,Parker,Isaiah ,D,"$65,500.00","$77,500.00"
FC Dallas,,Pomykal,Paxton,M,"$700,000.00","$700,000.00"
FC Dallas,,Quignon,Facundo,M,"$786,000.00","$840,627.00"
FC Dallas,,Quiñónez,Joshué,D,"$180,000.00","$227,833.00"
FC Dallas,,Redzic,Beni ,M,"$66,724.00","$74,346.00"
FC Dallas,,Roberts,Thomas,M,"$160,000.00","$172,000.00"
FC Dallas,,Sealy,Dante,F,"$140,000.00","$164,417.00"
FC Dallas,,Servania,Brandon,M,"$400,000.00","$455,833.00"
FC Dallas,,Smith ,Collin ,D,"$90,000.00","$93,000.00"
FC Dallas,,Tafari Burgess,Nkosi,D,"$197,950.00","$197,950.00"
FC Dallas,,Twumasi,Ema,D,"$290,000.00","$309,300.00"
FC Dallas,,Velasco,Alan ,F,"$1,100,000.00","$1,305,000.00"
FC Dallas,Eulanio Angelo Chipela Gomes,,Nanu,D,"$600,000.00","$668,750.00"
Houston Dynamo,,Avila ,Beto ,F-M,"$65,500.00","$65,500.00"
Houston Dynamo,,Baird,Corey,F,"$440,000.00","$471,031.00"
Houston Dynamo,,Bajamich,Mateo,F,"$286,000.00","$346,069.00"
Houston Dynamo,,Bartlow,Ethan,D,"$84,000.00","$91,500.00"
Houston Dynamo,,Carrasquilla,Adalberto,M,"$418,908.00","$469,132.00"
Houston Dynamo,,Castilla,Juan,M,"$65,500.00","$70,022.00"
Houston Dynamo,,Ceren,Darwin,M,"$190,000.00","$240,000.00"
Houston Dynamo,,Clark,Steve,GK,"$560,000.00","$620,031.00"
Houston Dynamo,,Dorsey,Griffin,D,"$125,000.00","$144,000.00"
Houston Dynamo,Thiaguinho,Fernandes,Thiago ,F,"$310,344.00","$370,344.00"
Houston Dynamo,,Ferreira,Sebastián,F,"$1,600,000.00","$1,970,200.00"
Houston Dynamo,,Hadebe,Teenage ,D,"$1,014,000.00","$1,179,177.00"
Houston Dynamo,,Herrera,Hector,M,"$4,750,000.00","$5,246,875.00"
Houston Dynamo,,Hoffmann,Ian,D,"$85,444.00","$85,444.00"
Houston Dynamo,,Junqua,Sam,D,"$89,513.00","$89,513.00"
Houston Dynamo,,Lemoine,Nico,F,"$84,000.00","$84,000.00"
Houston Dynamo,,Lundkvist,Adam,D,"$325,000.00","$372,500.00"
Houston Dynamo,,Nelson,Michael,GK,"$125,000.00","$139,500.00"
Houston Dynamo,,Palomino,Marcelo,M,"$84,000.00","$84,000.00"
Houston Dynamo,,Parker,Tim,D,"$1,000,000.00","$1,037,500.00"
Houston Dynamo,,Picault,Fafa,F,"$600,000.00","$600,000.00"
Houston Dynamo,,Quinones ,Nelson ,F,"$150,996.00","$171,890.00"
Houston Dynamo,,Quintero,Darwin,F,"$600,000.00","$661,250.00"
Houston Dynamo,,Raines,Brooklyn,M,"$65,500.00","$83,563.00"
Houston Dynamo,,Rios,Daniel Esteban,M,"$65,500.00","$70,022.00"
Houston Dynamo,,Rodriguez,Memo,M,"$285,000.00","$310,935.00"
Houston Dynamo,,Steres,Daniel,D,"$450,000.00","$468,750.00"
Houston Dynamo,Thor,Ulfarsson,Thorleifur,F,"$65,500.00","$77,699.00"
Houston Dynamo,,Valdez,Xavier,GK,"$65,500.00","$75,211.00"
Houston Dynamo,,Valentin,Zarek,D,"$260,000.00","$290,000.00"
Houston Dynamo,,Vera,Matias Gabriel,M,"$550,000.00","$622,812.00"
Houston Dynamo,Jose Carlos Cracco Neto,,Zeca,D,"$218,182.00","$259,015.00"
Inter Miami,,Acosta,George,M,"$65,500.00","$65,500.00"
Inter Miami,,Allen ,Noah,D,"$65,500.00","$67,167.00"
Inter Miami,,Azcona Velez,Edison,M,"$65,500.00","$65,500.00"
Inter Miami,,Callender,Drake,GK,"$130,000.00","$130,000.00"
Inter Miami,,Campana,Leonardo,F,"$84,000.00","$135,680.00"
Inter Miami,,De Magalhaes Silva,Gregore,M,"$700,000.00","$801,000.00"
Inter Miami,,Dos Santos,CJ,GK,"$65,500.00","$70,800.00"
Inter Miami,,Duke,Bryce,M,"$122,000.00","$122,000.00"
Inter Miami,,Fray,Ian,D,"$84,000.00","$84,000.00"
Inter Miami,,Gibbs,Kieran,D,"$370,000.00","$378,167.00"
Inter Miami,,Gonzalez Pirez,Leandro,D,"$892,500.00","$1,052,750.00"
Inter Miami,,Higuain,Gonzalo Gerardo,F,"$5,100,000.00","$5,793,750.00"
Inter Miami,,Jean,Corentin ,F,"$720,000.00","$788,400.00"
Inter Miami,,Jones,Joevin Martin,D-M,"$360,000.00","$458,100.00"
Inter Miami,,Lassiter,Ariel,F,"$210,000.00","$230,280.00"
